position_cycle_id,domain_class,stable_trade_id,trade_id,symbol,direction,cycle_start_time_beijing,cycle_end_time_beijing,root_position_source_row,root_fill_count,realized_pnl,commission_cost,funding_fee_signed,funding_event_count,legacy_strict_net,commission_rebate,rebate_event_count,economic_net,economic_outcome,funding_zero_semantics,unknown_coercion
S05-CYC-32c631f6f1157b800ec14bf9,ACTIVE,K03-ACT-32C631F6F1157B800EC14BF9,T001,BTCUSDT,LONG,2026-05-27T00:12:51+08:00,2026-05-27T01:19:41+08:00,11,4,43.4500,26.68752500,0,0,16.76247500,5.33750500,4,22.09998000,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-9229e6c2ce608b62baed88f5,ACTIVE,K03-ACT-9229E6C2CE608B62BAED88F5,T002,MUUSDT,SHORT,2026-05-27T21:50:42+08:00,2026-05-27T21:56:10+08:00,12,67,408.7720,28.94921116,0,0,379.82278884,5.78984222,62,385.61263106,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-a7c40252405800f588feee45,ACTIVE,K03-ACT-A7C40252405800F588FEEE45,T003,XAUUSDT,SHORT,2026-05-27T22:07:17+08:00,2026-05-27T23:34:06+08:00,13,4,105,0,0,0,105.00000000,0,0,105.00000000,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-cc2348e2a78f5522764d86a7,ACTIVE,K03-ACT-CC2348E2A78F5522764D86A7,T004,MUUSDT,SHORT,2026-05-28T02:27:36+08:00,2026-05-28T02:39:56+08:00,14,16,65.66819999,20.13951856,0,0,45.52868143,4.02790371,13,49.55658514,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-d0f4e4ebc5c58d56fab862f4,ACTIVE,K03-ACT-D0F4E4EBC5C58D56FAB862F4,T005,MUUSDT,SHORT,2026-05-28T03:06:02+08:00,2026-05-28T03:10:25+08:00,15,31,65.0078,20.30199686,0,0,44.70580314,4.06039938,30,48.76620252,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-c9a0173e58b2f1c71da09b87,ACTIVE,K03-ACT-C9A0173E58B2F1C71DA09B87,T006,MUUSDT,SHORT,2026-05-28T03:17:32+08:00,2026-05-28T03:36:31+08:00,16,28,100.66009999,20.37573596,0,0,80.28436403,4.07514722,23,84.35951125,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-f03fd7aec304db0c8d57bebd,ACTIVE,K03-ACT-F03FD7AEC304DB0C8D57BEBD,T007,MUUSDT,SHORT,2026-05-28T03:51:04+08:00,2026-05-28T03:57:28+08:00,17,43,80.31129998,17.07824426,0,0,63.23305572,3.41564886,42,66.64870458,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-4420a38faf94b16c6f6333fb,ACTIVE,K03-ACT-4420A38FAF94B16C6F6333FB,T008,MUUSDT,SHORT,2026-05-28T04:04:36+08:00,2026-05-28T04:05:35+08:00,18,58,70.51409993,22.32539435,0,0,48.18870558,4.46507890,56,52.65378448,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-a1bd9126b91b97f3c70c7b4a,ACTIVE,K03-ACT-A1BD9126B91B97F3C70C7B4A,T009,MUUSDT,SHORT,2026-05-28T05:16:57+08:00,2026-05-28T05:24:00+08:00,19,59,33.15189978,21.36230227,0,0,11.78959751,4.27246045,51,16.06205796,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-1576619af5a5c16c7fb9a949,ACTIVE,K03-ACT-1576619AF5A5C16C7FB9A949,T010,MUUSDT,SHORT,2026-05-28T05:32:50+08:00,2026-05-28T05:34:41+08:00,20,19,77.1267,0,0,0,77.12670000,0,0,77.12670000,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
