position_cycle_id,domain_class,stable_trade_id,trade_id,symbol,direction,cycle_start_time_beijing,cycle_end_time_beijing,root_position_source_row,root_fill_count,realized_pnl,commission_cost,funding_fee_signed,funding_event_count,legacy_strict_net,commission_rebate,rebate_event_count,economic_net,economic_outcome,funding_zero_semantics,unknown_coercion
S05-CYC-ff362cd0c8e83788ee4084f0,COPY,,U005,ETHUSDT,SHORT,2026-06-05T21:53:09+08:00,2026-06-05T22:09:22+08:00,,2,3.42108,0.38043486,0,0,3.04064514,0.07608697,2,3.11673211,WIN,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-70f7c45d8a989b99d6161079,COPY,,U006,SOLUSDT,SHORT,2026-06-05T21:53:35+08:00,2026-06-05T22:09:23+08:00,,2,-1.0941,0.33904075,0,0,-1.43314075,0.06780815,2,-1.36533260,LOSS,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-b6721a681fc9747623a1f73c,COPY,,U008,ZESTUSDT,LONG,2026-06-07T17:14:21+08:00,2026-06-07T17:18:14+08:00,,6,-17.97235998,0.69068160,0,0,-18.66304158,0.13813632,6,-18.52490526,LOSS,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-0c9012855c06d6f23713403c,COPY,,U009,ETHUSDT,SHORT,2026-06-08T06:31:00+08:00,2026-06-08T20:58:46+08:00,,59,-40.55389979,3.24542604,-0.48082771,2,-44.28015354,0.64908520,59,-43.63106834,LOSS,OBSERVED_EVENT_SUM,NONE
S05-CYC-b62d5bc893bfc5944417e570,COPY,,U010,BTCUSDT,SHORT,2026-06-08T06:31:13+08:00,2026-06-08T20:58:46+08:00,,3,-67.5936,4.56172559,0.31834676,2,-71.83697883,0.91234512,3,-70.92463371,LOSS,OBSERVED_EVENT_SUM,NONE
S05-CYC-49045beede2ba129805f281d,COPY,,U011,SOLUSDT,SHORT,2026-06-08T06:31:29+08:00,2026-06-08T20:58:46+08:00,,4,-71.709,3.88365450,-1.87223785,2,-77.46489235,0.7767309,4,-76.68816145,LOSS,OBSERVED_EVENT_SUM,NONE
S05-CYC-b2ede5b2988052ecd218b052,COPY,,U012,XRPUSDT,SHORT,2026-06-08T17:38:54+08:00,2026-06-08T20:58:46+08:00,,14,-88.21750,3.92815448,0,0,-92.14565448,0.78563088,14,-91.36002360,LOSS,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
S05-CYC-f16d2e1e6d97ff5780875653,COPY,,U013,SOLUSDT,SHORT,2026-06-09T10:26:19+08:00,2026-06-10T03:06:59+08:00,,3,0.43369999,0.09739465,-0.01067589,2,0.32562945,0.01947893,3,0.34510838,WIN,OBSERVED_EVENT_SUM,NONE
S05-CYC-78bf6d0254fa4ec6d3cb8965,COPY,,U014,BTCUSDT,SHORT,2026-06-09T17:31:21+08:00,2026-06-10T03:06:59+08:00,,2,0.9568,0.06224880,0.00037034,1,0.89492154,0.01244976,2,0.90737130,WIN,OBSERVED_EVENT_SUM,NONE
S05-CYC-1d45fb446d37d9c8c7a480fe,COPY,,U015,ETHUSDT,SHORT,2026-06-09T22:14:53+08:00,2026-06-10T03:06:59+08:00,,2,0.17458,0.04793671,-0.00245855,1,0.12418474,0.00958734,2,0.13377208,WIN,OBSERVED_EVENT_SUM,NONE
S05-CYC-f5209ccb8ad1f1dd70509a10,COPY,,U016,BTCUSDT,SHORT,2026-06-19T00:14:03+08:00,2026-06-19T21:45:39+08:00,,3,-2.9263,0.25198525,0.00876741,2,-3.16951784,0.05039705,3,-3.11912079,LOSS,OBSERVED_EVENT_SUM,NONE
S05-CYC-4bd717861fe238a14c375173,COPY,,U017,BTCUSDT,SHORT,2026-06-20T00:59:19+08:00,2026-06-20T07:56:33+08:00,,2,-3.6694,0.44248610,0,0,-4.11188610,0.08849722,2,-4.02338888,LOSS,EXACT_ZERO_AFTER_COMPLETE_54_EVENT_COVERAGE,NONE
